surface_id,route_ui,composant,libellé_visible,kpi_id_actuel,endpoint,service,tables_sources,formule_actuelle,unité_actuelle,période_actuelle,scope_actuel,permission_actuelle,pagination_impacte,limite_take,fallback_silencieux,cache,invalidation,drilldown,sensibilité,définition_cible,kpi_id_cible,statut,preuve
DIR-dash-ca,/dashboard,dashboard/page,CA période,caHighlight,/api/dashboard/stats,dashboard-stats,Paiement+Commande,mixte ledger/cmd,MGA,period UI,global,rapports:read,non,partiel 500,catch-zero,slices 20s,invalidateKpiCaches,/finance,FINANCIAL,DIR-001,DIR-001,PARTIAL,00_BASELINE
DIR-dash-benefice,/dashboard,dashboard/page,bénéfice/marge,beneficeNet,/api/dashboard/stats,dashboard-stats,Paiement+Charge,caMonth-charges,MGA,mois,global,pos:view_margin,non,n/a,oui,slices,local, /finance,FINANCIAL,DIR-007 BLOCKED,DIR-007,FAIL,dashboard-stats L427
DIR-dash-cout-err,/dashboard,kpi bag,coût erreurs,coutErreurs,/api/dashboard/stats,dashboard-stats,ProductionIncident,incidents*50000,MGA,courant,global,ops,non,n/a,oui,slices,local,n/a,OPERATIONAL,supprimer/estimate,PRO-012,FAIL,L539
DIR-dash-conversion,/dashboard,dashboard,taux conversion,tauxConversion,/api/dashboard/stats,dashboard-stats,Devis,acceptes/envoyes,PERCENT,all-time?,global,commercial,non,n/a,partiel,slices,local,/devis,OPERATIONAL,COM-007,COM-007,PARTIAL,L317
DIR-dash-urgent-retard,/dashboard,dashboard,urgentes/retard,cmdUrgentes/cmdRetard,/api/dashboard/stats,dashboard-stats,Commande,urgent confondu possible,COUNT,courant,global,production,non,take cmds,partiel,slices,local,/commandes,OPERATIONAL,PRO-004/005,PRO-004,PARTIAL,code
WS-magasin,/workspace/magasin,page,KPIs prod,production profile,/api/cockpit/stats,cockpit-stats,mixte,réutilise production,COUNT,week,global?,session,non,n/a,catch-zero,non,non,/stock,OPERATIONAL,profil magasin,STK-*,FAIL,page useCockpitStats production
WS-conducteur,/workspace/conducteur,page,Rendement cible,hardcoded 94,n/a,n/a,n/a,const 94,f/h,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,OPERATIONAL,MAC-012,MAC-012,FAIL,value=94
WS-maint,/workspace/maintenance,page,Tickets ouverts,ticketsOuverts,/api/cockpit/stats,cockpit-stats,?,manquant profil,COUNT,week,global,maintenance,non,n/a,||0,non,non,/maintenance,OPERATIONAL,MAC-006,MAC-006,FAIL,technicien map
WS-logistique,/workspace/logistique,page,Reste encaisser,facturesImpayees,/api/cockpit/stats,cockpit-stats,Facture,count formaté MGA,COUNT vs MGA,week,global,livraison,non,n/a,non,non,non,/factures,FINANCIAL,FIN-006+COUNT,LOG/FIN,FAIL,formatPrice on count
WS-accueil-msg,/workspace/accueil,page,messages,teamMessage count,/api/cockpit/stats,cockpit-stats,TeamMessage,all messages,COUNT,all,global,accueil,non,n/a,catch0,non,non,/messagerie,OPERATIONAL,CM-006,CM-006,FAIL,L192
CLI-summary,/clients,clients-page,total clients,summary.total,clients API,clients,Client,total||length,COUNT,filtres,global,crm,oui liste,page,|| fallback,non,non,/clients,OPERATIONAL,COM-003,COM-003,FAIL,L650
ADMIN-overview,/administration,overview,OK admin,overview counts,/api/admin-backoffice/overview,admin,mixte,comptes divergents,COUNT,courant,admin,config:view,non,n/a,?,non,non,/administration,OPERATIONAL,ADM-*,ADM-*,PARTIAL,P0-28
COCKPIT-API,/api/cockpit/stats,route,role query,ignored,cockpit/stats,cockpit-stats,mixte,session role,—,period,session,auth,non,n/a,catch0,non,non,—,OPERATIONAL,KPI102,KPI102,PASS,CK-05 fixed
